"V1","V2"
"LAMA2","LAMA5"
"LAMA2","LAMB2"
"LAMA2","LRP4"
"LAMA2","USH2A"
"LAMA2","PSG5"
"CHIT1","SIGLEC12"
"CHIT1","TNC"
"CHIT1","CDH3"
"CHIT1","COL13A1"
"CHIT1","COLQ"
"CHIT1","LAMA5"
"CHIT1","LAMB2"
"CHIT1","LRP4"
"CHIT1","USH2A"
"CHIT1","PSG5"
"SIGLEC12","TNC"
"SIGLEC12","CDH3"
"SIGLEC12","COL13A1"
"SIGLEC12","COLQ"
"SIGLEC12","LAMA5"
"SIGLEC12","LAMB2"
"SIGLEC12","LRP4"
"SIGLEC12","USH2A"
"SIGLEC12","PSG5"
"TNC","CDH3"
"TNC","COL13A1"
"TNC","COLQ"
"TNC","LAMA5"
"TNC","LAMB2"
"TNC","LRP4"
"TNC","USH2A"
"TNC","PSG5"
"CDH3","COL13A1"
"CDH3","COLQ"
"CDH3","LAMA5"
"CDH3","LAMB2"
"CDH3","LRP4"
"CDH3","USH2A"
"CDH3","PSG5"
"COL13A1","COLQ"
"COL13A1","LAMA5"
"COL13A1","LAMB2"
"COL13A1","LRP4"
"COL13A1","USH2A"
"COL13A1","PSG5"
"COLQ","LAMA5"
"COLQ","LAMB2"
"COLQ","LRP4"
"COLQ","USH2A"
"COLQ","PSG5"
"LAMA5","LAMB2"
"LAMA5","LRP4"
"LAMA5","USH2A"
"LAMA5","PSG5"
"LAMB2","LRP4"
"LAMB2","USH2A"
"LAMB2","PSG5"
"LRP4","USH2A"
"LRP4","PSG5"
"USH2A","PSG5"
"ZNF778","ZNF778"
"NPHP3","PRRT3"
"NPHP3","DMXL2"
"NPHP3","UNC13C"
"NPHP3","CHGB"
"NPHP3","GRIN3B"
"NPHP3","BAIAP3"
"NPHP3","NBEA"
"NPHP3","CHRNA1"
"NPHP3","CHRNB1"
"NPHP3","CHRND"
"NPHP3","CHRNE"
"NPHP3","CHRNG"
"NPHP3","PREPL"
"NPHP3","RAPSN"
"NPHP3","RPH3A"
"NPHP3","SCN4A"
"NPHP3","SNAP25"
"NPHP3","SYT2"
"NPHP3","UNC13B"
"NPHP3","VAMP1"
"NPHP3","AKNAD1"
"NPHP3","CLCNKB"
"PRRT3","DMXL2"
"PRRT3","UNC13C"
"PRRT3","CHGB"
"PRRT3","GRIN3B"
"PRRT3","BAIAP3"
"PRRT3","NBEA"
"PRRT3","CHRNA1"
"PRRT3","CHRNB1"
"PRRT3","CHRND"
"PRRT3","CHRNE"
"PRRT3","CHRNG"
"PRRT3","PREPL"
"PRRT3","RAPSN"
"PRRT3","RPH3A"
"PRRT3","SCN4A"
"PRRT3","SNAP25"
"PRRT3","SYT2"
"PRRT3","UNC13B"
"PRRT3","VAMP1"
"PRRT3","AKNAD1"
"PRRT3","CLCNKB"
"DMXL2","UNC13C"
"DMXL2","CHGB"
"DMXL2","GRIN3B"
"DMXL2","BAIAP3"
"DMXL2","NBEA"
"DMXL2","CHRNA1"
"DMXL2","CHRNB1"
"DMXL2","CHRND"
"DMXL2","CHRNE"
"DMXL2","CHRNG"
"DMXL2","PREPL"
"DMXL2","RAPSN"
"DMXL2","RPH3A"
"DMXL2","SCN4A"
"DMXL2","SNAP25"
"DMXL2","SYT2"
"DMXL2","UNC13B"
"DMXL2","VAMP1"
"DMXL2","AKNAD1"
"DMXL2","CLCNKB"
"UNC13C","CHGB"
"UNC13C","GRIN3B"
"UNC13C","BAIAP3"
"UNC13C","NBEA"
"UNC13C","CHRNA1"
"UNC13C","CHRNB1"
"UNC13C","CHRND"
"UNC13C","CHRNE"
"UNC13C","CHRNG"
"UNC13C","PREPL"
"UNC13C","RAPSN"
"UNC13C","RPH3A"
"UNC13C","SCN4A"
"UNC13C","SNAP25"
"UNC13C","SYT2"
"UNC13C","UNC13B"
"UNC13C","VAMP1"
"UNC13C","AKNAD1"
"UNC13C","CLCNKB"
"CHGB","GRIN3B"
"CHGB","BAIAP3"
"CHGB","NBEA"
"CHGB","CHRNA1"
"CHGB","CHRNB1"
"CHGB","CHRND"
"CHGB","CHRNE"
"CHGB","CHRNG"
"CHGB","PREPL"
"CHGB","RAPSN"
"CHGB","RPH3A"
"CHGB","SCN4A"
"CHGB","SNAP25"
"CHGB","SYT2"
"CHGB","UNC13B"
"CHGB","VAMP1"
"CHGB","AKNAD1"
"CHGB","CLCNKB"
"GRIN3B","BAIAP3"
"GRIN3B","NBEA"
"GRIN3B","CHRNA1"
"GRIN3B","CHRNB1"
"GRIN3B","CHRND"
"GRIN3B","CHRNE"
"GRIN3B","CHRNG"
"GRIN3B","PREPL"
"GRIN3B","RAPSN"
"GRIN3B","RPH3A"
"GRIN3B","SCN4A"
"GRIN3B","SNAP25"
"GRIN3B","SYT2"
"GRIN3B","UNC13B"
"GRIN3B","VAMP1"
"GRIN3B","AKNAD1"
"GRIN3B","CLCNKB"
"BAIAP3","NBEA"
"BAIAP3","CHRNA1"
"BAIAP3","CHRNB1"
"BAIAP3","CHRND"
"BAIAP3","CHRNE"
"BAIAP3","CHRNG"
"BAIAP3","PREPL"
"BAIAP3","RAPSN"
"BAIAP3","RPH3A"
"BAIAP3","SCN4A"
