"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2","5","7","53","153","119","156","287","116","C0002994"
"2","5","7","53","184","119","156","287","116","C0002994"
"2","5","8","63","45","23","306","390","158","C0003028"
"2","5","8","63","36","166","341","390","158","C0003028"
"2","3","12","41","219","339","156","568","697","C0003028"
"2","3","2","48","57","110","141","359","462","C0003028"
"2","3","2","50","47","39","100","321","638","C0003028"
"2","5","12","41","219","339","156","568","697","C0003028"
"2","3","2","48","170","50","304","167","593","C0003028"
"2","3","12","19","31","1","426","55","78","C0003028"
"2","3","7","34","52","216","395","549","674","C0003028"
"2","3","12","41","116","268","434","468","213","C0003028"
"2","3","3","19","221","321","428","541","667","C0003028"
"2","3","12","41","219","339","156","568","605","C0003028"
"2","3","7","76","153","40","38","54","75","C0003028"
"2","3","2","22","18","266","202","252","252","C0003028"
"2","3","12","48","182","50","119","444","556","C0003076"
